Name,Role,Win %,Pick %,Ban %,Kills,Deaths,Assists,KDA,Damage Dealt,Damage Taken,Healing Done,Largest Spree,Minions Killed,Own Jungle Monsters,Enemy Jungle Monsters,Gold
Urgot,Top,46.95,0.22,0.24,6.29,6.78,6.97,1.96,20896,20683,976,2.74,173.1,3.98,1.64,11738
Zac,Top,48.93,0.38,0.05,5.11,4.93,9.65,2.99,20095,32181,26280,2.73,169.9,4.12,1.84,11600
Yorick,Top,48.6,0.94,0.09,5.08,6.1,8.05,2.15,22218,30948,13561,2.31,175.1,4.18,1.98,11703
Galio,Top,53.88,0.24,0.14,4.66,5.62,11.88,2.94,21312,28858,8086,2.29,192,2.9,1.13,12234
Trundle,Top,45.02,0.75,0.04,4.8,5.87,7.53,2.1,16997,36811,10357,2.26,180.5,4.99,2.5,11678
Poppy,Top,50.74,0.76,0.13,8.36,6.41,5.29,2.13,22393,27459,1767,3.65,173.1,5.53,2.36,12518
Quinn,Top,48.86,0.6,0.02,8.11,7.15,5.76,1.94,23011,24259,1337,3.31,196.1,7.18,3.5,12929
Aatrox,Top,50.47,1.03,0.2,6.2,5.75,7.47,2.38,19863,30296,13633,3.08,193.7,8.09,4.62,12491
Karthus,Top,51.68,0.22,0.08,7.64,7.59,9.33,2.24,31191,24027,1772,2.93,214,8.89,1.82,13699
Ryze,Top,46.15,1.54,0.1,5.83,6.63,7.45,2,22404,26410,1027,2.64,173.6,5.08,1.63,11743
Mordekaiser,Top,49.73,0.83,0.15,6.19,6.99,6.52,1.82,24625,18923,3536,2.69,209.5,6.07,3.86,12639
Gragas,Top,46.1,0.83,0.1,5.22,5.6,7.48,2.27,19649,30232,7216,2.51,170.3,4.36,1.78,11357
Singed,Top,52.35,1.37,0.06,4.51,6.38,9.07,2.13,23588,37319,3367,2.07,217.6,1.18,1.4,12430
Heimerdinger,Top,54.18,0.94,0.27,5.32,6.37,7.1,1.95,27767,18861,1047,2.31,199.8,3.18,1.86,12272
Kayle,Top,50.59,0.82,0.23,5.44,6.04,7.65,2.17,18981,24829,8044,2.52,201.3,7.33,2.88,12336
Gangplank,Top,49.1,2.02,0.12,6.53,6.16,10.91,2.83,23599,29314,6999,3.01,200.9,5.08,2.19,13834
Akali,Top,47.35,0.79,10.37,8.52,7.24,5.66,1.96,20047,27494,751,3.56,162.5,4.63,2.51,11973
Shen,Top,45.79,2.22,0.05,4.06,4.77,11.33,3.23,15041,30186,2907,2.09,166.9,2.37,1,11429
Jayce,Top,46.02,2.31,0.23,6.7,6.68,7.37,2.11,24091,22370,1228,2.99,191.8,6.33,2.54,12463
Olaf,Top,45.26,1.66,0.11,6.29,7.12,6.51,1.8,21267,30567,4370,2.68,181.3,5.69,3.09,12029
Dr. Mundo,Top,45.21,1.59,0.05,4.52,5.41,8.6,2.43,20789,36904,9821,2.29,180.9,3.1,1.64,11630
